Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
8.606804,8.380000,4.770000,1.780000,,,
8.656926,,,,0.590000,-0.490000,-1.490000
8.689494,8.270000,4.970000,1.730000,,,
8.740279,,,,0.110000,-0.180000,0.090000
8.740402,8.260000,4.970000,1.780000,,,
8.856631,,,,0.260000,-0.300000,-0.330000
8.856755,8.250000,4.990000,1.750000,,,
8.907146,,,,0.240000,-0.110000,-0.650000
8.907269,8.260000,5.040000,1.560000,,,
9.022857,,,,0.110000,-0.420000,-0.510000
9.023119,8.240000,5.090000,1.490000,,,
9.023691,,,,0.130000,-0.240000,-0.400000
9.023814,8.220000,5.150000,1.390000,,,
9.107222,,,,0.180000,-0.080000,-0.850000
9.107344,8.090000,5.380000,1.280000,,,
9.215451,,,,0.260000,-0.370000,-0.150000
9.215577,7.990000,5.540000,1.200000,,,
9.273614,7.640000,6.060000,0.900000,,,
9.273795,,,,0.270000,-0.370000,-0.070000
9.324446,,,,0.300000,-0.420000,-0.710000
9.356582,7.430000,6.350000,0.670000,,,
9.440311,,,,0.190000,-0.680000,-0.800000
9.440732,7.280000,6.540000,0.500000,,,
9.524059,,,,0.100000,0.660000,-0.180000
9.524183,7.230000,6.610000,0.170000,,,
9.632429,,,,0.360000,-0.190000,-0.410000
9.632559,7.390000,6.430000,0.000000,,,
9.690647,,,,0.070000,-1.290000,-0.320000
9.690797,7.550000,6.240000,-0.150000,,,
9.773695,,,,0.140000,0.290000,-0.200000
9.774351,7.440000,6.370000,-0.230000,,,
9.857629,,,,0.090000,0.570000,-0.330000
9.940363,7.300000,6.530000,-0.300000,,,
10.074862,,,,0.970000,0.330000,-1.000000
10.075056,7.440000,6.370000,-0.290000,,,
10.107753,7.440000,6.380000,-0.060000,,,
10.107912,,,,2.190000,-0.480000,1.310000
10.191274,,,,2.970000,0.150000,0.370000
10.191451,7.030000,6.820000,-0.100000,,,
10.241711,,,,-0.490000,1.090000,-1.750000
10.241842,6.700000,7.150000,-0.070000,,,
10.408348,,,,0.040000,0.030000,-1.010000
10.408534,6.460000,7.360000,0.230000,,,
10.466065,6.770000,6.950000,1.400000,,,
10.466311,,,,0.610000,-1.160000,-0.130000
10.525173,,,,0.520000,-0.660000,-0.990000
10.525442,7.050000,6.560000,1.830000,,,
10.608058,,,,0.340000,-0.410000,-1.660000
10.608372,7.420000,6.000000,2.230000,,,
10.691556,,,,0.140000,-0.080000,-1.750000
10.692169,7.870000,5.310000,2.430000,,,
10.717127,8.150000,4.860000,2.450000,,,
10.717205,,,,-0.260000,0.240000,-1.050000
10.775408,,,,2.470000,-0.620000,0.620000
10.775489,8.400000,4.470000,2.350000,,,
10.825988,,,,-3.400000,3.790000,-1.480000
10.826118,8.520000,4.100000,2.560000,,,
10.942137,,,,-1.050000,2.150000,-2.090000
10.942178,8.500000,4.150000,2.560000,,,
11.025010,,,,-0.360000,1.120000,-1.590000
11.025480,8.390000,4.370000,2.550000,,,
11.025810,,,,-0.340000,-0.260000,-0.710000
11.025925,8.420000,4.330000,2.540000,,,
11.134511,,,,-0.030000,0.490000,-0.960000
11.134641,8.400000,4.380000,2.510000,,,
11.192160,,,,0.030000,-0.330000,-0.310000
11.192340,8.160000,4.830000,2.460000,,,
11.193103,,,,0.110000,0.410000,-0.540000
11.193251,8.050000,5.050000,2.390000,,,
11.326148,8.020000,5.130000,2.310000,,,
11.326233,,,,0.360000,-0.240000,-1.150000
11.442762,,,,0.260000,-0.430000,-0.840000
11.442889,7.990000,5.220000,2.220000,,,
11.492825,,,,0.200000,-0.730000,-0.910000
11.492954,7.810000,5.480000,2.240000,,,
11.550973,,,,0.200000,0.140000,-0.200000
11.551017,7.730000,5.570000,2.280000,,,
11.609557,,,,0.100000,0.410000,-0.190000
11.609789,7.690000,5.630000,2.260000,,,
11.692553,,,,-0.170000,-0.880000,-0.460000
11.692816,7.660000,5.720000,2.170000,,,
11.717509,,,,0.190000,-0.970000,0.270000
11.717628,7.500000,6.010000,1.940000,,,
11.859788,,,,1.740000,1.960000,0.710000
11.860020,7.260000,6.360000,1.730000,,,
11.909687,6.990000,6.710000,1.500000,,,
11.909822,,,,0.450000,0.840000,0.110000
11.943343,6.960000,6.790000,1.190000,,,
11.943386,,,,-0.020000,1.120000,-0.050000
12.109904,7.190000,6.600000,0.870000,,,
12.110072,,,,0.750000,0.050000,-1.340000
12.160436,,,,0.530000,-0.850000,-1.030000
12.160609,7.710000,5.990000,0.890000,,,
12.218795,,,,-0.030000,-0.440000,-0.910000
12.218944,7.970000,5.620000,1.010000,,,
12.276814,,,,0.010000,-0.170000,-0.240000
