Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3
10.658385,0.318182,0.250909,0.272727,0.886364,0.272727,0.296364,0.296364,0.136364,0.136364,1.545455,0.159091
10.716817,0.296364,0.227273,0.272727,0.921818,0.272727,0.272727,0.296364,0.159091,0.148182,1.261818,0.136364
10.775128,0.296364,0.250909,0.250909,0.990000,0.250909,0.272727,0.296364,0.148182,0.148182,1.204545,0.159091
10.825710,0.318182,0.250909,0.272727,0.990000,0.272727,0.272727,0.296364,0.136364,0.136364,1.500000,0.159091
10.885470,0.409091,0.250909,0.272727,1.227273,0.250909,0.272727,0.272727,0.125455,0.136364,1.443636,0.148182
10.942369,0.387273,0.227273,0.272727,1.058182,0.272727,0.272727,0.272727,0.136364,0.136364,3.557273,0.148182
11.025588,0.387273,0.227273,0.272727,1.704545,0.272727,0.272727,0.272727,0.136364,0.136364,6.102727,0.159091
11.108956,0.296364,0.250909,0.272727,0.785455,0.272727,0.296364,0.272727,0.148182,0.136364,18.772728,0.148182
11.134783,0.296364,0.250909,0.272727,0.921818,0.272727,0.296364,0.363636,0.136364,0.136364,34.477272,0.181818
11.192877,0.387273,0.250909,0.272727,0.409091,0.272727,0.296364,2.250909,0.136364,0.136364,48.386364,0.374545
11.325830,0.796364,1.590909,0.296364,0.409091,1.045455,2.978182,9.023637,0.136364,4.466363,52.875454,0.148182
11.442417,1.205455,2.840000,0.272727,0.477273,2.272727,4.818182,9.409091,0.148182,5.954545,61.898182,0.159091
11.443030,1.160000,2.772727,0.272727,0.409091,2.590909,9.363636,6.045455,0.363636,5.704545,67.602730,0.193636
11.550666,0.454545,0.272727,0.272727,0.444545,1.978182,11.841819,1.363636,1.022727,1.557273,69.943634,0.159091
11.609702,0.296364,0.250909,0.272727,0.444545,1.000000,11.978182,0.681818,1.204545,1.022727,68.136360,0.170909
11.659640,0.296364,0.250909,0.272727,0.444545,0.749091,8.841818,0.569091,0.136364,0.522727,65.057274,0.227273
11.717241,1.000000,0.272727,0.250909,0.444545,1.114545,7.681818,1.205455,0.136364,0.648182,58.681820,0.193636
11.775622,1.363636,2.136364,0.272727,0.444545,2.045455,9.090909,4.478182,0.931818,4.409091,65.398186,0.148182
11.860257,2.318182,4.841818,0.296364,0.444545,3.978182,12.023636,9.160000,12.249999,7.522727,64.454544,0.545455
11.909968,5.523636,19.114546,0.341818,0.444545,17.045456,11.841819,40.727276,60.943638,39.409088,69.557274,11.011818
11.943574,5.909091,23.681820,0.296364,0.444545,14.454545,6.409091,60.841820,60.034546,57.670910,67.784546,16.966364
12.076833,4.932728,26.887274,0.272727,0.409091,9.818183,3.160000,65.000000,0.148182,54.170910,56.830002,11.011818
12.110174,4.090909,22.250912,0.296364,0.444545,5.409091,2.636364,51.569096,0.148182,8.080001,53.886368,3.557273
12.193421,3.114546,12.954545,0.296364,0.444545,5.954545,3.727273,29.727274,0.136364,5.625454,46.284546,0.159091
12.276362,3.614546,12.545455,0.272727,0.444545,7.636364,4.160000,24.387272,0.136364,1.204545,41.613636,0.159091
12.277998,2.296364,8.272727,0.296364,0.409091,2.932727,2.545455,16.978182,0.136364,2.250000,23.648180,0.159091
12.401621,1.545455,2.114545,0.272727,6.954545,0.841818,0.478182,6.160000,0.148182,0.352727,12.545455,0.148182
12.460535,0.296364,0.250909,0.272727,2.659091,0.250909,0.296364,1.409091,0.136364,0.148182,4.636364,0.148182
12.461401,0.296364,0.250909,0.272727,1.467273,0.272727,0.296364,0.272727,0.136364,0.148182,1.966364,0.148182
12.626900,0.296364,0.227273,0.272727,1.022727,0.272727,0.296364,0.272727,0.136364,0.136364,1.284546,0.159091
12.710061,0.296364,0.250909,0.272727,1.022727,0.272727,0.296364,0.272727,0.136364,0.148182,1.522727,0.159091
12.810165,0.318182,0.250909,0.296364,1.058182,0.272727,0.272727,0.272727,0.136364,0.136364,1.534545,0.148182
12.834485,0.272727,0.250909,0.272727,1.090909,0.272727,0.272727,0.296364,0.136364,0.136364,1.352727,0.159091
12.944487,0.296364,0.250909,0.272727,1.058182,0.250909,0.272727,0.318182,0.136364,0.148182,0.898182,0.148182
12.976916,0.296364,0.250909,0.272727,1.022727,0.250909,0.296364,0.272727,0.136364,0.136364,1.307273,0.159091
13.127637,0.318182,0.227273,0.272727,1.022727,0.250909,0.272727,0.272727,0.148182,0.136364,1.454546,0.159091
13.160861,0.296364,0.250909,0.296364,1.022727,0.272727,0.296364,0.296364,0.136364,0.136364,1.466364,0.159091
13.244040,0.296364,0.250909,0.272727,1.535455,0.250909,0.318182,0.296364,0.136364,0.148182,3.500000,0.148182
13.294764,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.318182,0.125455,0.148182,12.318182,0.227273
13.355249,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.296364,0.136364,0.136364,73.375450,13.227274
13.411661,0.272727,0.205455,0.272727,0.409091,0.272727,0.272727,0.296364,0.136364,0.136364,118.272728,50.522728
13.570346,0.318182,0.250909,0.296364,1.090909,0.250909,0.296364,0.272727,0.136364,15.420910,126.943634,38.409096
13.669312,0.296364,0.227273,0.250909,3.613636,0.296364,3.181818,2.954545,0.454545,38.466366,98.443642,22.443636
13.778311,0.932727,4.181818,0.296364,0.409091,6.114545,14.363637,11.000000,19.159090,13.318183,58.045452,0.170909
13.812137,2.478182,9.181818,0.272727,0.409091,15.114546,27.136364,12.160000,8.875455,1.295455,22.181820,0.159091
13.894369,2.909091,11.409090,0.296364,26.522728,21.432728,30.614548,14.432728,6.840909,0.136364,13.386363,0.159091
13.945470,5.160000,14.203637,0.318182,33.954544,30.454548,32.454544,14.363637,4.625454,0.148182,6.568182,0.148182
13.978788,8.818182,16.727274,1.750909,37.737278,34.363636,34.136364,14.160001,1.239091,0.125455,2.261818,0.159091
14.078174,13.023637,22.272728,3.045455,43.262726,42.069088,31.409090,14.387273,0.148182,0.148182,2.954545,0.159091
14.128590,18.523636,29.181820,3.978182,46.330910,46.523636,35.478184,9.954545,0.148182,0.136364,1.409091,0.148182
14.187413,22.296364,32.569092,6.318182,53.080906,54.772728,40.090912,0.749091,0.148182,0.136364,2.057273,0.148182
