Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
27.969624,-92.616070,10712.109147,135196.520934,-43.239361,98.490420
28.041663,-92.309602,326.450249,134744.138452,-43.241366,98.157630
28.192391,-92.284619,-3517.896129,134700.509994,-43.244231,98.121233
28.270225,-92.273719,-1502.105377,134649.384543,-43.258326,98.061295
28.341950,-92.108364,-1669.641029,134396.524787,-43.262967,97.869684
28.475968,-91.444391,-5214.539592,133268.774199,-43.327310,96.945807
28.592085,-90.388775,-7997.923120,131521.343772,-43.413254,95.539171
28.625660,-89.306751,-12779.446321,129691.909439,-43.519938,94.044115
28.742324,-88.036804,-21060.758012,127800.722560,-43.539935,92.642030
28.859178,-87.994267,-15504.632627,127692.353485,-43.559816,92.532946
28.942536,-88.736351,-7369.850585,128791.842868,-43.550248,93.344517
29.060146,-89.019842,5039.509746,129223.557981,-43.541711,93.670676
29.176124,-89.318538,5790.255103,129663.701006,-43.538961,93.994011
29.236484,-89.816103,6553.835323,130571.910225,-43.461497,94.773896
29.353403,-91.018235,11355.259251,132505.329298,-43.385408,96.298200
29.470571,-92.318539,16710.563942,134571.986152,-43.315564,97.912751
29.526467,-92.473632,15612.497490,134899.106376,-43.275114,98.216070
29.676601,-92.267098,6258.325989,134660.045544,-43.250190,98.082162
29.810023,-92.391252,415.767295,134864.183933,-43.241023,98.245634
29.837069,-92.376660,379.465834,134816.077220,-43.251737,98.193317
29.987419,-92.464515,886.844060,134944.438127,-43.251680,98.286901
30.093697,-92.421786,198.430732,134873.620648,-43.255060,98.229868
30.121043,-92.527013,391.294433,135016.275742,-43.259415,98.326734
30.327908,-92.662747,911.842578,135218.650663,-43.257696,98.476895
30.405455,-92.737747,1322.418340,135340.177027,-43.252883,98.573190
30.494886,-92.877270,1361.632175,135547.972944,-43.251221,98.727229
30.578150,-92.779182,978.989734,135423.536043,-43.243773,98.648657
30.694417,-93.162781,1796.416764,135967.403108,-43.250133,99.034494
30.727792,-93.274712,2158.410494,136148.275106,-43.243200,99.177522
30.844514,-93.388937,2638.864570,136316.452511,-43.242627,99.300965
30.994571,-93.322958,650.983576,136199.582959,-43.250763,99.202580
31.021893,-92.562457,-1679.991817,135031.409197,-43.274025,98.314154
31.156297,-91.912802,-7914.214187,133903.875293,-43.346504,97.377024
31.274996,-90.232799,-16561.303252,131056.044751,-43.511917,95.045930
31.328240,-85.718963,-29443.882598,123923.914950,-43.765336,89.495229
31.462355,-82.293558,-51904.527915,118814.855293,-43.837873,85.701459
31.612053,-80.217297,-41627.943291,115688.799136,-43.898950,83.361163
31.662071,-79.893436,-36727.656725,115178.168135,-43.919806,82.964145
31.762766,-80.178650,-11390.050746,115629.578078,-43.900612,83.316165
31.895593,-80.945532,4441.138051,116760.532449,-43.888809,84.147744
31.945350,-81.071590,4872.375594,116967.659777,-43.876891,84.313882
32.079057,-81.792124,7567.487293,118049.833595,-43.857010,85.122334
32.195844,-82.549993,8133.346701,119164.495825,-43.847384,85.939954
32.223891,-82.871749,8724.447034,119645.283155,-43.839878,86.297549
32.340358,-83.092735,8090.077254,119972.449377,-43.836154,86.538928
32.456767,-82.886417,4226.161362,119684.656937,-43.831513,86.338051
32.546483,-82.483278,-334.710481,119100.927945,-43.832258,85.915888
32.662986,-82.102054,-4740.412173,118487.165394,-43.861650,85.431031
32.779641,-81.699739,-5454.023768,117909.500961,-43.860275,85.016487
32.806817,-81.144859,-6620.924707,117060.952983,-43.882735,84.372855
32.924955,-80.953422,-6457.271445,116781.990451,-43.884053,84.169928
33.096794,-81.078819,-2037.799495,116973.101740,-43.879240,84.314481
33.130127,-81.198828,-1263.128676,117158.667623,-43.873396,84.456520
33.253110,-81.141790,1006.332962,117080.388048,-43.871505,84.402768
33.363600,-81.081245,-172.029869,116991.324171,-43.872307,84.337427
33.447658,-80.936492,-705.339557,116758.174908,-43.883767,84.153167
33.563926,-80.791914,-1776.796560,116551.788176,-43.882735,84.005869
33.741262,-80.666725,-1555.711385,116385.469936,-43.875974,83.895513
33.741417,-80.593061,-1634.909246,116287.169420,-43.872193,83.829973
33.857708,-80.556167,-1072.755110,116242.520997,-43.868125,83.803506
34.048320,-80.574479,-343.773893,116233.642153,-43.884855,83.773581
34.048687,-80.280859,-1042.511928,115804.176555,-43.887663,83.460117
34.181460,-79.576138,-4176.852050,114778.319351,-43.892132,82.714574
34.242310,-79.404592,-4935.223724,114494.473360,-43.909664,82.485728
34.364782,-79.288030,-5725.738555,114363.592515,-43.891731,82.416258
34.464801,-79.189397,-1898.658272,114184.062796,-43.909722,82.262018
