Time (s),impedance_magnitude_ohm
29.176124,129663.701006
29.236484,130571.910225
29.353403,132505.329298
29.470571,134571.986152
29.526467,134899.106376
29.676601,134660.045544
29.810023,134864.183933
29.837069,134816.077220
29.987419,134944.438127
30.093697,134873.620648
30.121043,135016.275742
30.327908,135218.650663
30.405455,135340.177027
30.494886,135547.972944
30.578150,135423.536043
30.694417,135967.403108
30.727792,136148.275106
30.844514,136316.452511
30.994571,136199.582959
31.021893,135031.409197
31.156297,133903.875293
31.274996,131056.044751
31.328240,123923.914950
31.462355,118814.855293
31.612053,115688.799136
31.662071,115178.168135
31.762766,115629.578078
31.895593,116760.532449
31.945350,116967.659777
32.079057,118049.833595
32.195844,119164.495825
32.223891,119645.283155
32.340358,119972.449377
32.456767,119684.656937
32.546483,119100.927945
32.662986,118487.165394
32.779641,117909.500961
32.806817,117060.952983
32.924955,116781.990451
33.096794,116973.101740
33.130127,117158.667623
33.253110,117080.388048
33.363600,116991.324171
33.447658,116758.174908
33.563926,116551.788176
33.741262,116385.469936
33.741417,116287.169420
33.857708,116242.520997
34.048320,116233.642153
34.048687,115804.176555
34.181460,114778.319351
34.242310,114494.473360
34.364782,114363.592515
34.464801,114184.062796
34.614962,114232.333569
34.665100,114282.452005
34.749216,114250.389200
34.881975,114366.080533
34.959423,114337.813966
35.065221,114639.743263
35.181956,115418.634159
35.208961,115790.495326
35.415968,116174.562307
35.443688,116511.866023
35.532509,116246.960927
35.649304,120282.642064
35.766129,128501.348294
35.850087,132915.277749
35.966270,133687.794448
36.083113,134211.551689
36.199781,134501.871796
36.259526,134714.631222
36.376591,134483.103569
36.434328,134389.965598
36.550498,131807.339897
36.667233,119986.887783
36.727291,109710.330002
36.843935,112005.781260
36.977385,117654.246127
37.035086,119664.347726
37.167529,119804.919598
37.350879,120083.066461
37.351115,121291.571815
37.484446,129449.195645
37.568408,135025.103179
37.628635,135401.656253
37.818631,134952.941223
37.895464,134448.396154
37.951527,134698.941152
38.085577,134832.423363
38.166947,135004.612685
38.251869,129585.537655
38.368547,114188.121383
38.485437,109158.407795
38.512647,111683.889513
38.645813,117518.673040
38.778945,119214.120982
38.835758,119362.012834
38.969527,119538.436030
39.085985,119849.117885
39.119337,126166.173366
39.263376,133936.440747
39.379452,134891.239383
39.436474,134788.423542
39.553236,134606.444079
39.669976,134678.235854
39.730751,135159.864755
39.846536,134947.272374
39.963889,133600.075636
40.080312,123187.891153
40.170446,112187.662094
40.303829,113298.576840
40.331720,117470.449086
40.448111,117928.016334
40.564339,117836.938311
40.654143,118499.548629
40.771159,118745.563402
40.888002,118946.341455
40.915397,119776.133760
41.032422,123758.152979
41.149021,132742.583633
41.238136,135256.604201
41.419064,135335.425804
41.489028,135156.389770
41.638690,133976.161017
41.688682,133823.614840
41.772424,133492.746025
41.834706,132900.309434
41.950497,132414.909727
42.066865,131997.189450
42.155779,130980.347638
42.272404,129245.508596
42.389038,124730.367050
42.417150,109883.156018
42.533016,103774.986697
42.678642,101605.129159
42.772990,102756.140349
42.873190,103504.349940
43.007328,103613.957443
43.084164,103344.897618
43.174001,103443.063568
43.290013,103471.012999
43.317904,106243.917596
43.434450,115280.347075
43.551483,129220.381536
43.640821,132129.896623
43.757361,132896.949663
43.874106,132977.631072
43.957501,132528.105355
44.074328,131307.212589
44.191677,128879.965627
44.224439,117895.077428
44.341181,104614.378409
44.485322,101202.719579
44.541437,100770.108736
44.691850,102285.563975
44.768478,103353.578990
44.825805,104205.102550
44.958609,104215.055945
45.092778,103120.612198
45.125697,103387.949369
45.242177,109605.939432
45.358909,124985.941624
45.442389,131421.209569
45.559104,132482.561068
45.676643,132765.441332
45.736458,131859.035532
45.852430,129332.517887
45.969522,123543.984091
46.086491,108456.987979
46.176444,106312.086779
46.293107,109721.779304
46.324731,113494.038833
46.441527,115409.650390
